DATE       TIME       1._Wind_speed_[ 2._Wind_dir._[d 3._Air_temp._[° 
2018-07-14 17:15:45            5.6095        110.8965            26.2 
2018-07-14 17:16:00            5.4595        116.1985         26.0992 
2018-07-14 17:16:15            4.8195         111.298            26.4 
2018-07-14 17:16:30            6.3895         126.599         25.8992 
2018-07-14 17:16:45            5.2195           107.8            26.6 
2018-07-14 17:17:00            7.3195        108.7955         25.8992 
2018-07-14 17:17:15          7.239501        109.6975            25.8 
2018-07-14 17:17:30            7.0895         110.099         25.6992 
2018-07-14 17:17:45            7.3595         108.999         25.5984 
2018-07-14 17:18:00            6.1795         122.199         25.5984 
2018-07-14 17:18:15            6.1095           112.2         25.6992 
2018-07-14 17:18:30          6.509501         117.997         26.4992 
2018-07-14 17:18:45            5.6795         109.197              26 
2018-07-14 17:19:00            5.8895        110.8965              26 
2018-07-14 17:19:15            8.9595         106.799            25.8 
2018-07-14 17:19:30            7.5495         105.798         26.0992 
2018-07-14 17:19:45            6.4295        102.9985            26.2 
2018-07-14 17:20:00            5.8595          98.395         26.2992 
2018-07-14 17:20:15            5.5395        104.3955         26.2992 
2018-07-14 17:20:30            7.0795         101.299            26.2 
2018-07-14 17:20:45            7.1195          92.895              26 
2018-07-14 17:21:00          7.739501        103.2955         25.6992 
2018-07-14 17:21:15            7.5695         94.4955         25.8992 
2018-07-14 17:21:30          6.989501          99.198            25.8 
2018-07-14 17:21:45            7.3895           106.7         26.2992 
2018-07-14 17:22:00            7.5295         103.598         26.0992 
2018-07-14 17:22:15            7.8395        100.6995            25.8 
2018-07-14 17:22:30            6.1695           102.3         26.0992 
2018-07-14 17:22:45            5.5495           104.5         25.8992 
2018-07-14 17:23:00          6.739501        106.4965            26.4 
2018-07-14 17:23:15            7.6895         108.295         25.6992 
2018-07-14 17:23:30            5.9595        100.6995         25.6992 
2018-07-14 17:23:45          6.759501         108.097         25.4992 
2018-07-14 17:24:00            6.9395         101.497            26.2 
2018-07-14 17:24:15            6.6695         104.995         25.5984 
2018-07-14 17:24:30            7.1595         108.097            25.2 
2018-07-14 17:24:45            6.7995           107.8         25.2992 
2018-07-14 17:25:00            5.7395        114.9995            25.4 
2018-07-14 17:25:15            6.3595         109.395            25.4 
2018-07-14 17:25:30            7.2495         103.598         25.4992 
2018-07-14 17:25:45            7.6095         107.096            25.4 
2018-07-14 17:26:00            7.7895        108.7955            25.4 
2018-07-14 17:26:15            6.4795         112.497            25.4 
2018-07-14 17:26:30            6.5495        110.5995            25.4 
2018-07-14 17:26:45            7.6495        108.4985         25.4992 
2018-07-14 17:27:00            7.4095        107.4975            25.4 
2018-07-14 17:27:15            7.7995        107.2995            25.2 
