DATE       TIME       1._Wind_speed_[ 2._Wind_dir._[d 3._Air_temp._[° 
2018-07-14 08:00:00            1.9195        278.1955         16.0992 
2018-07-14 08:00:15            1.8795        257.9995         16.0992 
2018-07-14 08:00:30            2.0995        256.0965            16.4 
2018-07-14 08:00:45            1.8995         268.697            16.2 
2018-07-14 08:01:00            2.1395        259.1985         15.8992 
2018-07-14 08:01:15            1.8695        249.1995         15.8992 
2018-07-14 08:01:30            1.8695         249.799         16.4992 
2018-07-14 08:01:45            1.8295         269.797         16.0992 
2018-07-14 08:02:00            2.1295        258.0985            16.4 
2018-07-14 08:02:15            2.5795         245.696            15.8 
2018-07-14 08:02:30            2.5395         248.798              16 
2018-07-14 08:02:45            2.4095        253.7975              16 
2018-07-14 08:03:00            1.9095         253.396              16 
2018-07-14 08:03:15            2.1895        249.4965         16.2992 
2018-07-14 08:03:30            1.7595         268.499         16.2992 
2018-07-14 08:03:45            2.7595         254.298              16 
2018-07-14 08:04:00            2.6495         254.595              16 
2018-07-14 08:04:15              2.25           254.1              16 
2018-07-14 08:04:30               1.6        240.6965         16.2992 
2018-07-14 08:04:45            2.6295         243.595            16.2 
2018-07-14 08:05:00            2.0195         233.398            16.4 
2018-07-14 08:05:15            1.9495         242.099              16 
2018-07-14 08:05:30            1.9295        237.1985         16.0992 
2018-07-14 08:05:45            2.0695         259.996            16.2 
2018-07-14 08:06:00            1.6895        271.4965         16.6992 
2018-07-14 08:06:15              2.26           248.6         16.0992 
2018-07-14 08:06:30            2.3395         244.299            16.2 
2018-07-14 08:06:45            2.2895         242.198            16.8 
2018-07-14 08:07:00            2.3495         249.898         16.0992 
2018-07-14 08:07:15            1.9195        251.5975            16.2 
2018-07-14 08:07:30            1.4695         229.295         16.2992 
2018-07-14 08:07:45            1.9495        246.9995         16.2992 
2018-07-14 08:08:00            1.4695         259.699         16.4992 
2018-07-14 08:08:15            1.3195         255.398            16.4 
2018-07-14 08:08:30            1.4095         261.096            16.2 
2018-07-14 08:08:45            1.2395        268.2955         16.2992 
2018-07-14 08:09:00            1.6295        255.0955         16.2992 
2018-07-14 08:09:15            2.6595        246.2955         16.5984 
2018-07-14 08:09:30            2.5095         282.799            16.4 
2018-07-14 08:09:45            2.5695         271.095         16.5984 
2018-07-14 08:10:00            2.3295         267.696         16.0992 
2018-07-14 08:10:15            1.7295        262.4985            16.2 
2018-07-14 08:10:30            1.5395        275.5995         16.4992 
2018-07-14 08:10:45              2.25        282.3975            16.2 
2018-07-14 08:11:00               1.6         277.398         16.4992 
2018-07-14 08:11:15            1.6595        276.0945            16.4 
2018-07-14 08:11:30            1.9495        266.0955            16.4 
2018-07-14 08:11:45            1.5895        254.9965         16.4992 
2018-07-14 08:12:00            1.5795        253.9955            16.2 
2018-07-14 08:12:15            1.3495        271.2985            16.4 
2018-07-14 08:12:30            1.1795        266.8985         16.5984 
2018-07-14 08:12:45            1.3395        273.5975         16.4992 
2018-07-14 08:13:00            1.8695         255.299         16.6992 
2018-07-14 08:13:15            1.9595        256.8995            16.2 
2018-07-14 08:13:30            1.5795         256.597            16.4 
2018-07-14 08:13:45            1.4595        268.0975         16.5984 
2018-07-14 08:14:00            3.1395           257.4         16.6992 
2018-07-14 08:14:15            2.4595        264.9955         16.0992 
2018-07-14 08:14:30            2.0395         259.897            16.2 
2018-07-14 08:14:45            1.9595         276.397            16.4 
2018-07-14 08:15:00            1.9395         266.695         16.2992 
2018-07-14 08:15:15            1.5195        271.2985            16.4 
2018-07-14 08:15:30            1.1195        249.3975            16.8 
2018-07-14 08:15:45            1.2295         254.496              17 
2018-07-14 08:16:00            1.9795         243.397         16.6992 
2018-07-14 08:16:15            1.3595         245.597         16.5984 
2018-07-14 08:16:30            1.9795        241.7965            16.8 
2018-07-14 08:16:45            1.6495         247.896            16.4 
2018-07-14 08:17:00            1.5295        260.5955         16.4992 
2018-07-14 08:17:15            1.3395        249.3975         16.5984 
2018-07-14 08:17:30            0.9495        250.7945         16.6992 
2018-07-14 08:17:45            1.0695           272.8         17.0992 
2018-07-14 08:18:00            1.9795         276.397         16.6992 
2018-07-14 08:18:15            1.5095        277.0955         16.6992 
2018-07-14 08:18:30            1.6195         298.595            16.8 
2018-07-14 08:18:45            1.0095        283.4975         16.8992 
2018-07-14 08:19:00         0.9195001         271.997         16.8992 
2018-07-14 08:19:15            1.3395         302.698         17.0992 
2018-07-14 08:19:30            2.3595        269.2965         16.4992 
2018-07-14 08:19:45            1.7595        258.2965         16.5984 
2018-07-14 08:20:00            1.9095         261.096         16.6992 
2018-07-14 08:20:15            1.4995         258.995            16.8 
2018-07-14 08:20:30            2.2395         255.497            16.8 
2018-07-14 08:20:45            1.8195        270.3965         16.5984 
2018-07-14 08:21:00            1.4095         263.098            17.2 
2018-07-14 08:21:15            1.7795        260.1995         16.5984 
2018-07-14 08:21:30            1.2295        263.7965         16.8992 
2018-07-14 08:21:45            1.2095        271.5955              17 
2018-07-14 08:22:00            1.2895         274.395         16.8992 
2018-07-14 08:22:15            1.1795        278.9985         16.6992 
2018-07-14 08:22:30            1.2095         283.899            16.8 
2018-07-14 08:22:45            1.5695         273.295            16.8 
2018-07-14 08:23:00            2.0195        252.5985         16.4992 
