DATE       TIME       1._Wind_speed_[ 2._Wind_dir._[d 3._Air_temp._[° 
2018-07-17 08:39:45            3.2795        285.5985            14.8 
2018-07-17 08:40:00            3.2395         305.998            14.6 
2018-07-17 08:40:15            3.4995         307.395            14.4 
2018-07-17 08:40:30            3.2195         286.495         14.6992 
2018-07-17 08:40:45            3.4495        302.3955            14.8 
2018-07-17 08:41:00            3.3795         297.099            14.4 
2018-07-17 08:41:15            3.3195         306.097         14.2992 
2018-07-17 08:41:30            3.3495        295.4985         14.4992 
2018-07-17 08:41:45            3.4695        303.3965            14.6 
2018-07-17 08:42:00            3.7795        301.0975         14.4992 
2018-07-17 08:42:15            3.9495        292.5945         14.4992 
2018-07-17 08:42:30            3.6295        297.5995         14.4992 
2018-07-17 08:42:45            3.7095         296.296            14.6 
2018-07-17 08:43:00            3.1995           295.9         14.6992 
2018-07-17 08:43:15            4.0795        288.1945         14.6992 
2018-07-17 08:43:30            3.9895         294.195            14.6 
2018-07-17 08:43:45            3.5395         302.797         14.6992 
2018-07-17 08:44:00            3.4195        296.4995            14.8 
2018-07-17 08:44:15            3.1995         301.598              15 
2018-07-17 08:44:30            3.5195           301.4            15.2 
2018-07-17 08:44:45            3.5595         311.597              15 
2018-07-17 08:45:00            3.5295        302.0985            14.8 
2018-07-17 08:45:15            3.4595         303.996         14.8992 
2018-07-17 08:45:30            3.2995         302.797            14.8 
2018-07-17 08:45:45            3.2895         304.095         14.8992 
2018-07-17 08:46:00            2.9895        284.7955         15.2992 
2018-07-17 08:46:15            3.5795         288.299              15 
2018-07-17 08:46:30            3.6395         309.298         15.2992 
2018-07-17 08:46:45            3.0595        307.6975         15.0992 
2018-07-17 08:47:00            2.6995        306.5975         15.4992 
2018-07-17 08:47:15            2.9095        304.6945            15.2 
2018-07-17 08:47:30            3.3095           301.4              15 
2018-07-17 08:47:45            3.4095         298.199              15 
2018-07-17 08:48:00            2.8195        296.6975              15 
2018-07-17 08:48:15            3.4595         292.996              15 
2018-07-17 08:48:30            3.4195        319.8965            15.4 
2018-07-17 08:48:45            3.1995        311.0965            15.4 
2018-07-17 08:49:00            3.0995         311.696         15.2992 
2018-07-17 08:49:15            3.0395         300.597         15.0992 
2018-07-17 08:49:30            3.5495        295.4985              15 
2018-07-17 08:49:45            3.5595         298.199         15.0992 
2018-07-17 08:50:00            3.4995         304.997            15.2 
2018-07-17 08:50:15            3.0495         301.598         15.2992 
2018-07-17 08:50:30            2.6795           306.9         15.4992 
2018-07-17 08:50:45            2.7795         311.597            15.4 
2018-07-17 08:51:00            3.4695         298.595         15.4992 
2018-07-17 08:51:15            3.7195         292.699            15.2 
2018-07-17 08:51:30            3.8095         293.799            15.2 
2018-07-17 08:51:45            3.3895        297.6985            15.2 
2018-07-17 08:52:00            3.3895        293.1995            15.4 
2018-07-17 08:52:15            3.5795         297.396         15.2992 
2018-07-17 08:52:30            3.4295        296.5985         15.2992 
2018-07-17 08:52:45            3.2895         290.598            15.2 
2018-07-17 08:53:00            3.0595         295.097         15.2992 
2018-07-17 08:53:15            3.2395         308.198         15.4992 
2018-07-17 08:53:30            3.0895        292.0995         15.2992 
2018-07-17 08:53:45            3.6295        298.0945         15.2992 
2018-07-17 08:54:00            2.4195        308.7975              16 
2018-07-17 08:54:15            2.7895         324.797            15.6 
2018-07-17 08:54:30            2.7795        328.4985            15.6 
2018-07-17 08:54:45            3.3495        315.5955            15.6 
2018-07-17 08:55:00            2.9195         313.995            15.8 
2018-07-17 08:55:15            3.2395         318.296            15.8 
2018-07-17 08:55:30            2.3095         298.595            15.6 
2018-07-17 08:55:45            3.0295         288.695            15.6 
2018-07-17 08:56:00            2.4195         297.495         15.4992 
2018-07-17 08:56:15            2.9195        305.4975         15.4992 
2018-07-17 08:56:30            3.3295        314.5945         15.6992 
2018-07-17 08:56:45            2.1295         314.798         15.8992 
2018-07-17 08:57:00            2.5795         328.999            15.8 
2018-07-17 08:57:15            2.9595        339.5975            15.6 
2018-07-17 08:57:30            2.6995         328.295            15.6 
2018-07-17 08:57:45               2.5         316.998         15.8992 
2018-07-17 08:58:00            1.8595         311.795         15.8992 
2018-07-17 08:58:15            2.1595         310.596              16 
2018-07-17 08:58:30            2.0695        297.9955            15.8 
2018-07-17 08:58:45            1.9195        321.9975              16 
2018-07-17 08:59:00            2.5895        315.1995            16.2 
2018-07-17 08:59:15            2.5695         313.896              16 
2018-07-17 08:59:30            2.3395        319.5995         16.2992 
2018-07-17 08:59:45            3.3895         324.698              16 
2018-07-17 09:00:00            2.7795        316.2995         16.0992 
2018-07-17 09:00:15            2.1695        310.7995         16.0992 
2018-07-17 09:00:30              2.25           324.5         16.0992 
2018-07-17 09:00:45            2.7695         304.095              16 
2018-07-17 09:01:00            2.1495        312.9995         16.5984 
2018-07-17 09:01:15            3.3795        306.7955         16.4992 
2018-07-17 09:01:30            2.7295        303.2975         16.0992 
2018-07-17 09:01:45            2.6295        312.9995            16.4 
2018-07-17 09:02:00            2.8695        314.1985            16.2 
