DATE       TIME       1._Wind_speed_[ 2._Wind_dir._[d 3._Air_temp._[° 
2018-07-16 14:11:30            1.6195         171.798              25 
2018-07-16 14:11:45            1.6295        173.4975              25 
2018-07-16 14:12:00            1.6695        160.5945            25.2 
2018-07-16 14:12:15            0.9395         188.298            25.4 
2018-07-16 14:12:30            1.4695         132.198            25.8 
2018-07-16 14:12:45            1.8695         175.395         24.8992 
2018-07-16 14:13:00            2.1495         176.198         24.8992 
2018-07-16 14:13:15            3.2095         145.497         25.4992 
2018-07-16 14:13:30            3.6195         145.299         24.2992 
2018-07-16 14:13:45            3.2295         125.796            24.2 
2018-07-16 14:14:00            2.6195        110.9955         24.2992 
2018-07-16 14:14:15            2.4595        103.1965            24.4 
2018-07-16 14:14:30            1.6095        109.5985         24.5984 
2018-07-16 14:14:45            1.5095        100.8975            24.8 
2018-07-16 14:15:00            1.6495           101.2         24.6992 
2018-07-16 14:15:15            1.5595        102.0965         24.8992 
2018-07-16 14:15:30            1.5595            89.1            24.8 
2018-07-16 14:15:45            1.4395         85.3985         24.6992 
2018-07-16 14:16:00            1.4995          79.695         24.6992 
2018-07-16 14:16:15            1.2095              77         24.6992 
2018-07-16 14:16:30            1.0495         11.6985         24.8992 
2018-07-16 14:16:45            0.9295         38.2965              25 
2018-07-16 14:17:00            0.9895          46.299            25.2 
2018-07-16 14:17:15         0.9695001        122.9965         25.2992 
2018-07-16 14:17:30            0.9495          93.896            25.4 
2018-07-16 14:17:45         0.9695001           118.8         25.5984 
2018-07-16 14:18:00            1.7895        108.6965         25.2992 
2018-07-16 14:18:15            0.6595         159.698         25.6992 
2018-07-16 14:18:30            1.9695          79.596         25.8992 
2018-07-16 14:18:45            2.2095         59.0975         25.2992 
2018-07-16 14:19:00            2.4095           104.5              26 
2018-07-16 14:19:15            1.7695         134.497         25.4992 
2018-07-16 14:19:30            3.3695        162.2995            25.4 
2018-07-16 14:19:45            3.3195        121.6985         25.8992 
2018-07-16 14:20:00            2.4495         124.597         24.6992 
2018-07-16 14:20:15            2.6795          86.097         24.5984 
2018-07-16 14:20:30            2.8995          93.698         24.6992 
2018-07-16 14:20:45            2.3495         76.4995         24.5984 
2018-07-16 14:21:00            2.6695          80.795         24.6992 
2018-07-16 14:21:15            2.9695          81.598            24.4 
2018-07-16 14:21:30            2.6095          82.599         24.6992 
2018-07-16 14:21:45            1.6495         72.3965            24.8 
2018-07-16 14:22:00            1.1495          50.897         25.6992 
2018-07-16 14:22:15            1.4295         75.6965            25.4 
2018-07-16 14:22:30            2.1795          72.996         25.0992 
