DATE       TIME       1._Wind_speed_[ 2._Wind_dir._[d 3._Air_temp._[° 
2018-07-16 15:18:00            2.5095         186.395            24.4 
2018-07-16 15:18:15            2.5595        184.5965         24.2992 
2018-07-16 15:18:30            2.2095        186.6975            24.4 
2018-07-16 15:18:45            2.4195        187.6985            24.4 
2018-07-16 15:19:00            1.9895         182.699         24.4992 
2018-07-16 15:19:15            1.7495         186.395         24.6992 
2018-07-16 15:19:30            1.6895        192.1975         24.6992 
2018-07-16 15:19:45            1.6495        187.8965         24.5984 
2018-07-16 15:20:00            1.7395        184.3985         24.6992 
2018-07-16 15:20:15            1.5295        200.8985         24.8992 
2018-07-16 15:20:30            1.6195        184.4975         24.8992 
2018-07-16 15:20:45            1.6595        188.9965         24.6992 
2018-07-16 15:21:00            1.5495        184.4975            24.8 
2018-07-16 15:21:15            1.6595        179.1955         24.6992 
2018-07-16 15:21:30            2.0795        187.8965         24.4992 
2018-07-16 15:21:45            1.7695        190.2945         24.6992 
2018-07-16 15:22:00            1.6995         190.498         24.6992 
2018-07-16 15:22:15            1.7295        185.5975            24.8 
2018-07-16 15:22:30            1.6695         170.797              25 
2018-07-16 15:22:45            0.9395        175.5985            24.8 
2018-07-16 15:23:00            2.9095        196.4985         24.2992 
2018-07-16 15:23:15              2.25         196.097         24.2992 
2018-07-16 15:23:30            2.9695        200.7995         24.4992 
2018-07-16 15:23:45            2.7595         196.097         24.2992 
2018-07-16 15:24:00            3.2795        210.8975            24.4 
2018-07-16 15:24:15            2.7595           192.5            24.2 
2018-07-16 15:24:30            3.0595         200.497            24.2 
2018-07-16 15:24:45            2.3895        198.8965            24.2 
2018-07-16 15:25:00              2.25           200.2         24.4992 
2018-07-16 15:25:15            1.6295         205.997         24.6992 
2018-07-16 15:25:30            1.4495         201.795         24.6992 
2018-07-16 15:25:45         0.9695001         186.395         25.0992 
2018-07-16 15:26:00            2.0095         194.095            24.8 
2018-07-16 15:26:15            1.5795         189.299              25 
2018-07-16 15:26:30            1.8195        195.7945            24.8 
2018-07-16 15:26:45            1.5595         187.495         24.8992 
2018-07-16 15:27:00            2.1395        197.8955         24.6992 
2018-07-16 15:27:15            1.8595        190.1955              25 
2018-07-16 15:27:30            2.0795         181.896         25.0992 
2018-07-16 15:27:45            2.1995         184.899            24.8 
2018-07-16 15:28:00            1.7895        195.3985            24.8 
2018-07-16 15:28:15            2.4795         199.496         24.4992 


