DATE       TIME       1._Wind_speed_[ 2._Wind_dir._[d 3._Air_temp._[° 
2018-07-17 12:36:00         0.8395001          26.895              23 
2018-07-17 12:36:15            1.7195          13.497         22.5984 
2018-07-17 12:36:30            1.8895         24.0955         22.4992 
2018-07-17 12:36:45            0.3795          39.897         22.8992 
2018-07-17 12:37:00            1.6395         67.9965         22.5984 
2018-07-17 12:37:15            0.9395            48.4              23 
2018-07-17 12:37:30            0.9495          56.298            22.8 
2018-07-17 12:37:45            1.2095         79.9975         22.2992 
2018-07-17 12:38:00            1.6495         68.8985            22.4 
2018-07-17 12:38:15            1.1095          74.096         22.4992 
2018-07-17 12:38:30            1.5695         59.1965         22.2992 
2018-07-17 12:38:45            1.3595            68.2            22.8 
2018-07-17 12:39:00            1.3395          55.099         22.5984 
2018-07-17 12:39:15            0.8095        355.1955         22.6992 
2018-07-17 12:39:30            1.7495          10.098              23 
2018-07-17 12:39:45            1.9195             352            22.4 
2018-07-17 12:40:00            1.3895         355.399         22.2992 
2018-07-17 12:40:15            1.3795           316.8         22.2992 
2018-07-17 12:40:30            1.3195        343.7995            22.4 
2018-07-17 12:40:45            1.7395        343.0955            22.4 
2018-07-17 12:41:00            0.7395         24.9975         22.5984 
2018-07-17 12:41:15            0.5295           200.2            22.4 
2018-07-17 12:41:30            0.4495         187.198            22.8 
2018-07-17 12:41:45            1.3295          16.698              23 
2018-07-17 12:42:00            0.7695        288.9975         23.4992 
2018-07-17 12:42:15            2.0695          16.995            22.8 
2018-07-17 12:42:30               1.6        359.1995         22.8992 
2018-07-17 12:42:45            0.6795         306.097              23 
2018-07-17 12:43:00            1.9895         339.196            22.2 
2018-07-17 12:43:15            1.1195         303.699         22.8992 
2018-07-17 12:43:30            1.1195         330.099            22.8 
2018-07-17 12:43:45            1.5295        342.8975         22.5984 
2018-07-17 12:44:00            1.4495        348.4965         22.8992 
2018-07-17 12:44:15            1.7195          33.099              23 
2018-07-17 12:44:30            1.4895        303.4955         22.6992 
2018-07-17 12:44:45            1.1195        326.2985            22.8 
2018-07-17 12:45:00              1.13             9.9              23 
2018-07-17 12:45:15            2.1395         339.999         22.6992 
2018-07-17 12:45:30            2.2695        293.4965         22.8992 
2018-07-17 12:45:45            1.3895        290.2955            22.2 
2018-07-17 12:46:00            2.3995        306.7955         22.2992 
2018-07-17 12:46:15         0.8995001         323.796            22.8 
2018-07-17 12:46:30            1.0295        187.7975              23 
2018-07-17 12:46:45            1.1195        304.3975              23 
2018-07-17 12:47:00            1.4195        336.0995         22.0992 
2018-07-17 12:47:15            1.1895        334.9995         22.6992 
