DATE       TIME       1._Wind_speed_[ 2._Wind_dir._[d 3._Air_temp._[° 
2018-07-16 14:42:15            1.4995        164.8955         25.4992 
2018-07-16 14:42:30            1.8595         189.596            25.2 
2018-07-16 14:42:45            2.5095        196.7955         25.0992 
2018-07-16 14:43:00            1.8795        195.6955            25.4 
2018-07-16 14:43:15            1.7995         198.495         25.2992 
2018-07-16 14:43:30            1.9195         191.598         25.8992 
2018-07-16 14:43:45            1.7395        207.3995         25.8992 
2018-07-16 14:44:00            2.4895         208.197         25.5984 
2018-07-16 14:44:15            2.1895        209.9955            25.2 
2018-07-16 14:44:30            2.2295         219.098         24.8992 
2018-07-16 14:44:45            2.6795         236.797            25.8 
2018-07-16 14:45:00            2.5695        192.0985         24.5984 
2018-07-16 14:45:15            3.1895        210.7985              25 
2018-07-16 14:45:30            2.9895         196.295         24.5984 
2018-07-16 14:45:45            2.2895         191.796         25.0992 
2018-07-16 14:46:00            2.4895           202.4            24.8 
2018-07-16 14:46:15            4.1695        194.2985         24.6992 
2018-07-16 14:46:30            3.2495         196.097         24.5984 
2018-07-16 14:46:45            3.6595        188.7985         24.5984 
2018-07-16 14:47:00            4.3395        174.6965              25 
2018-07-16 14:47:15            3.7495           181.5            24.4 
2018-07-16 14:47:30            3.6195         176.297         24.4992 
2018-07-16 14:47:45            3.2995        189.7995            24.4 
2018-07-16 14:48:00            3.3195           181.5            24.4 
2018-07-16 14:48:15            2.4895           182.6         24.5984 
2018-07-16 14:48:30            2.6295        179.9985         24.4992 
2018-07-16 14:48:45            2.6295         191.796         24.5984 
2018-07-16 14:49:00            2.2295        186.8955         24.5984 
2018-07-16 14:49:15            2.3795             187         24.5984 
2018-07-16 14:49:30            2.6195         200.398         24.4992 
2018-07-16 14:49:45            2.6695         207.196         24.6992 
2018-07-16 14:50:00            2.0795         208.197         24.6992 
2018-07-16 14:50:15            2.3995         225.797         24.4992 
2018-07-16 14:50:30            2.2295        227.5955         24.4992 
2018-07-16 14:50:45            1.8895        213.1965         24.4992 
2018-07-16 14:51:00            1.8595        225.2965         24.5984 
2018-07-16 14:51:15            2.3795        239.3985         24.6992 
2018-07-16 14:51:30            1.9795         240.097         24.6992 
2018-07-16 14:51:45            1.4795        234.9985            24.8 
2018-07-16 14:52:00            2.2295        230.5985         24.4992 
2018-07-16 14:52:15            1.8295        241.8955         24.6992 
2018-07-16 14:52:30            2.3695        229.4985            24.8 
2018-07-16 14:52:45            2.0295        208.6975         24.6992 
2018-07-16 14:53:00            1.9195        211.7995         24.4992 
