DATE       TIME       1._Wind_speed_[ 2._Wind_dir._[d   3._Air_T_[°C] 
2018-07-17 15:41:15            1.9295        271.5955         25.4992 
2018-07-17 15:41:30            2.2995         273.097         25.4992 
2018-07-17 15:41:45            2.0895        259.2975         25.2992 
2018-07-17 15:42:00            2.1095         262.999         25.4992 
2018-07-17 15:42:15            2.3395        268.9995         25.2992 
2018-07-17 15:42:30            2.3995         263.197         25.2992 
2018-07-17 15:42:45            2.8695        251.3995            25.2 
2018-07-17 15:43:00            2.5495        261.7945            25.2 
2018-07-17 15:43:15            2.4595        261.2995            25.2 
2018-07-17 15:43:30            2.4595         258.995            25.2 
2018-07-17 15:43:45            3.4095         259.996            25.2 
2018-07-17 15:44:00            2.7595        262.3995         25.0992 
2018-07-17 15:44:15            3.0095        261.2995         24.8992 
2018-07-17 15:44:30            3.1395         259.996            24.8 
2018-07-17 15:44:45            3.4495         263.197         24.6992 
2018-07-17 15:45:00            3.6595         256.597         24.5984 
2018-07-17 15:45:15            3.8795         260.997         24.5984 
2018-07-17 15:45:30            3.6995        259.2975            24.4 
2018-07-17 15:45:45            4.0195         263.296         24.6992 
2018-07-17 15:46:00            3.9995        264.5995            24.8 
2018-07-17 15:46:15            3.9595         263.098         24.6992 
2018-07-17 15:46:30            4.1395        253.9955         24.6992 
2018-07-17 15:46:45            4.1295        258.2965            24.8 
2018-07-17 15:47:00            3.7195         259.996            24.8 
2018-07-17 15:47:15            4.2095        259.1985         24.6992 
2018-07-17 15:47:30            3.6695         257.697            24.8 
2018-07-17 15:47:45            3.9595        256.1955         24.6992 
2018-07-17 15:48:00            4.2795        255.7995            24.4 
2018-07-17 15:48:15            4.4095         256.795            24.4 
2018-07-17 15:48:30            4.8895         251.295            24.2 
2018-07-17 15:48:45            4.8595        252.7965            24.2 
2018-07-17 15:49:00            5.0695           254.1            24.2 
2018-07-17 15:49:15            5.1895         253.396         24.2992 
2018-07-17 15:49:30            5.5295         254.595         24.0992 
2018-07-17 15:49:45            6.0495         256.498            23.8 
2018-07-17 15:50:00            7.8995        252.5985              23 
2018-07-17 15:50:15            7.2795        264.8965         22.6992 
2018-07-17 15:50:30            6.3495         268.895         22.5984 
2018-07-17 15:50:45            8.8195        252.6975         22.4992 
2018-07-17 15:51:00            6.8495        256.9985            22.4 
2018-07-17 15:51:15          7.429501        254.9965         22.2992 
2018-07-17 15:51:30            7.3195        249.5955         22.0992 
2018-07-17 15:51:45            6.7995         244.695         22.0992 
2018-07-17 15:52:00            6.5895         247.797            22.2 
2018-07-17 15:52:15            6.0595        253.5995              22 
2018-07-17 15:52:30            7.3495         255.299              22 
2018-07-17 15:52:45          7.009501         253.495         21.8992 
