DATE       TIME       1._Wind_speed_[ 2._Wind_dir._[d   3._Air_T_[°C] 
2018-07-16 15:16:15            1.9095        184.4975            25.4 
2018-07-16 15:16:30            4.0395        162.7945         24.0992 
2018-07-16 15:16:45            3.9495         166.496            24.2 
2018-07-16 15:17:00            3.1395        172.2985         24.4992 
2018-07-16 15:17:15            2.6295         176.495            24.4 
2018-07-16 15:17:30            3.5595        164.8955         24.2992 
2018-07-16 15:17:45            2.9895           167.2            24.4 
2018-07-16 15:18:00            2.7095         170.599         24.4992 
2018-07-16 15:18:15            2.4295        173.6955            24.4 
2018-07-16 15:18:30            2.3995        168.0965         24.4992 
2018-07-16 15:18:45            2.1995         166.496         24.5984 
2018-07-16 15:19:00              2.25        163.7955         24.8992 
2018-07-16 15:19:15            2.1095        179.0965            24.8 
2018-07-16 15:19:30            1.6395         180.598         24.6992 
2018-07-16 15:19:45            1.7395         164.395            24.8 
2018-07-16 15:20:00            1.4295         181.995            24.8 
2018-07-16 15:20:15            1.9995        177.7985         25.0992 
2018-07-16 15:20:30            1.7495        168.0965         24.6992 
2018-07-16 15:20:45            1.4595         170.698         24.8992 
2018-07-16 15:21:00            1.4695        161.2985              25 
2018-07-16 15:21:15            1.2695        157.9985         25.0992 
2018-07-16 15:21:30            1.3795        188.6995            25.2 
2018-07-16 15:21:45            1.8795        165.9955              25 
2018-07-16 15:22:00            2.0495        165.8965         25.0992 
2018-07-16 15:22:15            1.7595         147.895            25.2 
2018-07-16 15:22:30            1.6495         167.596              25 
2018-07-16 15:22:45            2.0595        180.9995            24.8 
2018-07-16 15:23:00            2.7795        193.1985         24.5984 
2018-07-16 15:23:15              2.26        165.7975              25 
2018-07-16 15:23:30            2.8495         168.795              25 
2018-07-16 15:23:45            3.4595        166.6995         24.2992 
2018-07-16 15:24:00            3.2595         160.699         24.2992 
2018-07-16 15:24:15            3.1395        172.5955         24.2992 
2018-07-16 15:24:30            2.4795        175.8955            24.4 
2018-07-16 15:24:45            1.7795        174.6965         24.5984 
2018-07-16 15:25:00            1.8695         191.499         24.5984 
2018-07-16 15:25:15            1.7195        191.1965         24.6992 
2018-07-16 15:25:30            1.5095             187         24.6992 
2018-07-16 15:25:45            1.7795        172.4965            24.8 
2018-07-16 15:26:00            1.5195         175.197         24.8992 
2018-07-16 15:26:15            1.6195         186.098         24.8992 
2018-07-16 15:26:30            1.6795         188.199         24.8992 
2018-07-16 15:26:45            2.1495        164.5985         24.8992 
2018-07-16 15:27:00            2.1395         155.199         24.5984 
2018-07-16 15:27:15            1.7495        154.9955              25 
2018-07-16 15:27:30            2.1995         172.799            24.8 
2018-07-16 15:27:45            1.6595        164.4995         24.8992 
