DATE       TIME       1._Wind_speed_[ 2._Wind_dir._[d   3._Air_T_[°C] 
2018-07-17 15:07:15            1.1395           191.4            26.8 
2018-07-17 15:07:30            1.3495         170.995         26.2992 
2018-07-17 15:07:45         0.9595001         192.698         26.2992 
2018-07-17 15:08:00            2.5095         197.197         26.2992 
2018-07-17 15:08:15            1.5595             187         26.0992 
2018-07-17 15:08:30            1.3095         194.095            26.2 
2018-07-17 15:08:45            1.2995        214.3955         26.2992 
2018-07-17 15:09:00            1.4995         199.496            26.2 
2018-07-17 15:09:15            1.4795           203.5         26.2992 
2018-07-17 15:09:30            1.5795         204.996         26.2992 
2018-07-17 15:09:45            1.3195        204.1985         26.2992 
2018-07-17 15:10:00            1.2395         201.795         26.2992 
2018-07-17 15:10:15            1.5495         210.298         26.2992 
2018-07-17 15:10:30              2.25        227.5955         26.6992 
2018-07-17 15:10:45            1.6995        249.3975              26 
2018-07-17 15:11:00            2.1195             253            25.4 
2018-07-17 15:11:15            2.1395        255.7995         25.8992 
2018-07-17 15:11:30            2.3995         253.495         26.4992 
2018-07-17 15:11:45            1.8695        242.7975              26 
2018-07-17 15:12:00            1.0295        237.4955         26.4992 
2018-07-17 15:12:15            1.2995         246.796         26.6992 
2018-07-17 15:12:30            1.8595         239.096         26.4992 
2018-07-17 15:12:45            1.8595        208.7965         26.4992 
2018-07-17 15:13:00            2.3495         248.897         26.4992 
2018-07-17 15:13:15            2.6195         249.997         26.2992 
2018-07-17 15:13:30            2.0495         257.697         25.4992 
2018-07-17 15:13:45            1.2695        282.6945              26 
2018-07-17 15:14:00            1.4795        297.5995              26 
2018-07-17 15:14:15            1.3695        257.2955            25.8 
2018-07-17 15:14:30            2.1295         292.996         25.4992 
2018-07-17 15:14:45            1.5395         278.597         25.8992 
2018-07-17 15:15:00            2.1895         267.696            25.8 
2018-07-17 15:15:15            1.8995         265.595              26 
2018-07-17 15:15:30            3.3395             264         26.2992 
2018-07-17 15:15:45            2.2695        264.7975            25.8 
2018-07-17 15:16:00              2.26        277.1945         25.6992 
2018-07-17 15:16:15            1.3895        267.1955         25.6992 
2018-07-17 15:16:30            2.8395         271.898            25.4 
2018-07-17 15:16:45            2.4595        270.1985            25.4 
2018-07-17 15:17:00            2.5595        284.7955         25.5984 
2018-07-17 15:17:15            2.5395         266.497         25.5984 
2018-07-17 15:17:30            2.6195         277.398         25.5984 
2018-07-17 15:17:45            2.5495        279.0975         25.5984 
2018-07-17 15:18:00            2.3395        265.6995         25.5984 
2018-07-17 15:18:15            2.0595         270.798         25.5984 
2018-07-17 15:18:30            1.9795         261.998         25.5984 
