DATE       TIME       1._Wind_speed_[ 2._Wind_dir._[d   3._Air_T_[°C] 
2018-07-17 13:58:45            2.6695         346.995         25.0992 
2018-07-17 13:59:00            2.7495         347.897         24.4992 
2018-07-17 13:59:15            3.7395        356.2955         24.5984 
2018-07-17 13:59:30            3.6395          5.0985         23.6992 
2018-07-17 13:59:45            3.6495           5.995              24 
2018-07-17 14:00:00            3.2895           7.997            23.8 
2018-07-17 14:00:15            5.9795          6.2975         24.2992 
2018-07-17 14:00:30            5.5495        358.0995         23.4992 
2018-07-17 14:00:45            5.2095        350.5975            23.4 
2018-07-17 14:01:00            4.6595        354.7995            23.4 
2018-07-17 14:01:15            4.5095        352.9955         23.5984 
2018-07-17 14:01:30            3.8795        349.5965         23.5984 
2018-07-17 14:01:45            4.5295         356.598              24 
2018-07-17 14:02:00            3.0395        346.1975         23.6992 
2018-07-17 14:02:15            4.3395        352.5995         23.8992 
2018-07-17 14:02:30            3.4095           7.898         24.5984 
2018-07-17 14:02:45            3.9395         10.4995         24.2992 
2018-07-17 14:03:00            3.1495         12.9965         23.6992 
2018-07-17 14:03:15            2.5395          34.199            24.4 
2018-07-17 14:03:30            2.6495          18.095         23.8992 
2018-07-17 14:03:45            1.8595         28.2975         24.0992 
2018-07-17 14:04:00            2.3795         44.5995         23.8992 
2018-07-17 14:04:15            3.7695          26.895            24.2 
2018-07-17 14:04:30            3.3395          4.1965         25.2992 
2018-07-17 14:04:45            2.6795        358.4955         24.0992 
2018-07-17 14:05:00            1.9895           4.796         24.0992 
2018-07-17 14:05:15              1.25         345.499         24.4992 
2018-07-17 14:05:30            1.9595         358.897         24.0992 
2018-07-17 14:05:45            2.7795         344.597              24 
2018-07-17 14:06:00            1.5195         14.1955            24.4 
2018-07-17 14:06:15            1.7195         340.296         24.6992 
2018-07-17 14:06:30            2.0995         22.9955         24.8992 
2018-07-17 14:06:45            2.0295          29.799            24.4 
2018-07-17 14:07:00            2.1495            24.2         24.4992 
2018-07-17 14:07:15            2.7695          34.496         24.5984 
2018-07-17 14:07:30            3.2595          23.298              24 
2018-07-17 14:07:45            4.4595          14.696         25.5984 
2018-07-17 14:08:00            3.4795         28.4955            24.8 
2018-07-17 14:08:15            3.6195          25.696            25.2 
2018-07-17 14:08:30              4.27          14.498         25.2992 
2018-07-17 14:08:45            3.3695          3.0965         24.8992 
2018-07-17 14:09:00            4.3195          15.499         24.4992 
2018-07-17 14:09:15            3.3395         12.9965         23.8992 
2018-07-17 14:09:30            3.3195        344.8995            24.4 
2018-07-17 14:09:45            2.6795         345.598         23.8992 
2018-07-17 14:10:00            2.7095        343.8985            23.8 
2018-07-17 14:10:15            3.2095         344.696         23.6992 
2018-07-17 14:10:30            3.7195        341.9955            23.8 
