DATE       TIME       1._Wind_speed_[ 2._Wind_dir._[d   3._Air_T_[°C] 
2018-07-16 14:43:00            1.1395         214.995         25.2992 
2018-07-16 14:43:15            2.0695        245.9985              25 
2018-07-16 14:43:30            1.4095         251.295         25.0992 
2018-07-16 14:43:45            1.6895        229.6965              25 
2018-07-16 14:44:00            1.3795         200.695         25.2992 
2018-07-16 14:44:15            1.9495         206.195            25.4 
2018-07-16 14:44:30            2.5595        210.9965            24.8 
2018-07-16 14:44:45              2.25        209.6985            24.8 
2018-07-16 14:45:00            1.5695             220              25 
2018-07-16 14:45:15            0.7095           278.3         25.4992 
2018-07-16 14:45:30            1.2295         235.796         25.5984 
2018-07-16 14:45:45            1.1495        229.5975            25.2 
2018-07-16 14:46:00            1.1695        207.6965            25.4 
2018-07-16 14:46:15            1.3095        195.2995         25.4992 
2018-07-16 14:46:30         0.8595001         252.197         25.5984 
2018-07-16 14:46:45            1.4695         210.496            25.4 
2018-07-16 14:47:00            2.8195        167.8985         24.6992 
2018-07-16 14:47:15            3.1195         166.298            24.4 
2018-07-16 14:47:30            3.4295         171.897         24.2992 
2018-07-16 14:47:45            3.9295        168.1955         24.2992 
2018-07-16 14:48:00            3.2195         167.695            24.4 
2018-07-16 14:48:15            2.4195        177.9965         24.4992 
2018-07-16 14:48:30            2.8595        163.7955         24.2992 
2018-07-16 14:48:45            2.6695         177.199         24.2992 
2018-07-16 14:49:00            2.4795        169.2955         24.4992 
2018-07-16 14:49:15            2.9195        163.6965            24.4 
2018-07-16 14:49:30            2.3095        180.9995         24.4992 
2018-07-16 14:49:45            2.2695        164.7965         24.6992 
2018-07-16 14:50:00            1.4895           163.9         24.8992 
2018-07-16 14:50:15            1.7695        191.1965            24.8 
2018-07-16 14:50:30              2.26         171.897         24.5984 
2018-07-16 14:50:45            1.8195        165.9955            24.8 
2018-07-16 14:51:00            1.4595         178.497            24.8 
2018-07-16 14:51:15            1.2795         181.698         24.8992 
2018-07-16 14:51:30            1.3595        160.4955         25.0992 
2018-07-16 14:51:45            1.9595        166.6995              25 
2018-07-16 14:52:00            1.4295         166.595         24.8992 
2018-07-16 14:52:15            2.1295        165.8965         24.8992 
2018-07-16 14:52:30            1.8395        158.2955         24.6992 
